# data		conc.	1	2	3	4	5	6	jolly	supers.
#									
15/09/2016	111	14	18	30	48	53	86	71	31
17/09/2016	112	2	4	10	59	68	88	58	31
20/09/2016	113	45	46	48	52	77	78	21	36
22/09/2016	114	4	11	34	49	55	83	85	14
24/09/2016	115	3	16	22	31	45	56	37	12
27/09/2016	116	36	41	55	81	83	85	51	7
29/09/2016	117	11	40	41	44	67	70	68	90
01/10/2016	118	18	19	57	74	80	82	29	89
04/10/2016	119	47	49	67	80	84	85	21	26
06/10/2016	120	2	12	26	52	59	80	16	4
08/10/2016	121	18	25	37	47	62	87	74	51
11/10/2016	122	11	12	17	53	71	76	90	62
13/10/2016	123	4	34	39	60	61	77	85	58
15/10/2016	124	4	7	36	72	78	81	20	40
18/10/2016	125	24	44	48	61	73	87	88	24
20/10/2016	126	2	43	65	66	67	90	44	27
22/10/2016	127	1	6	45	48	64	78	33	32
25/10/2016	128	4	40	54	65	83	85	73	82
27/10/2016	129	3	12	23	71	76	83	56	35
29/10/2016	130	1	7	13	17	40	49	80	46
31/10/2016	131	3	14	18	25	47	75	72	13
03/11/2016	132	21	35	56	66	68	79	15	77
05/11/2016	133	21	22	26	35	47	85	18	83
08/11/2016	134	31	32	60	75	81	84	62	24
10/11/2016	135	26	41	50	55	69	86	47	50
12/11/2016	136	9	12	20	22	75	90	77	44
15/11/2016	137	9	18	25	31	78	81	33	85
17/11/2016	138	2	20	23	41	44	59	29	38
19/11/2016	139	28	29	37	43	51	78	90	44
22/11/2016	140	8	21	44	77	80	86	62	51
24/11/2016	141	53	68	75	79	82	84	42	27
26/11/2016	142	41	42	44	47	68	69	80	5
29/11/2016	143	5	24	35	49	62	77	90	81
01/12/2016	144	11	20	31	56	63	72	28	48
03/12/2016	145	2	10	15	26	68	71	64	47
06/12/2016	146	24	51	56	64	65	73	34	1
10/12/2016	147	54	65	66	68	70	85	52	29
12/12/2016	148	6	39	52	65	68	86	30	66
13/12/2016	149	17	21	35	48	60	76	23	80
15/12/2016	150	9	30	31	53	67	86	42	74
17/12/2016	151	7	15	31	39	41	45	50	14
20/12/2016	152	10	11	29	47	58	73	43	69
22/12/2016	153	14	23	24	44	77	86	74	56
24/12/2016	154	1	19	21	32	48	86	3	5
27/12/2016	155	13	25	30	57	58	64	14	75
29/12/2016	156	31	33	38	58	76	85	25	37
31/12/2016	157	12	14	18	22	28	33	66	16
